Fornecedor,ContaContabil,UniMedida,QtdReceber,QtdComprada,ValorReceber,ValorComprado,Recuperadas
4,1,15,0,20,0.0,3669.0,0
1,2,19,0,19,0.0,6749.9704,1
21,3,16,0,110,0.0,2352.9,1
44,3,3,0,1200,0.0,48.0,0
2,3,3,0,1200,0.0,552.0,0
50,1,3,0,3360,0.0,1747.2,0
13,3,3,0,300,0.0,1413.0,1
5,3,3,0,90,0.0,116.1,0
5,4,0,0,1,0.0,1488.6855,0
0,1,1,0,150,0.0,751951.5,0
3,1,3,0,60,0.0,38.4,0
1,1,23,0,90,0.0,2779.2,1
37,1,0,0,24,0.0,311930.16,0
12,0,2,0,30000,0.0,1800.0,1
3,1,1,0,30,0.0,4775.1,0
3,1,3,0,60,0.0,6120.0,1
3,1,1,0,262,0.0,2620.0,1
3,1,3,0,60,0.0,83.4,0
3,3,3,0,250,0.0,145.0,1
3,3,16,0,6,0.0,38.34,0
3,2,16,0,24,0.0,420.0,0
3,1,15,0,5,0.0,5098.6,0
3,1,16,0,2,0.0,75.86,1
3,1,3,0,96,0.0,23.04,1
3,0,6,0,6000,0.0,1440.0,0
32,1,1,0,42,0.0,124902.12,1
32,1,1,0,66,0.0,21007.8,1
3,1,16,0,22,0.0,65329.88,0
1,1,17,0,8,0.0,9322.8,1
1,1,1,0,70,0.0,670964.7,1
51,1,3,0,6000,0.0,18240.0,0
0,1,0,0,54,0.0,453528.18,0
6,1,1,0,700,0.0,922509.0,1
10,0,6,0,28800,0.0,12960.0,0
13,3,3,0,5100,0.0,7344.0,1
0,1,3,0,2100,0.0,289632.0,1
3,2,0,0,90,0.0,91.8,1
3,1,5,0,30,0.0,111.9,1
3,0,6,0,3600,0.0,216.0,1
10,0,6,0,24000,0.0,12000.0,1
1,3,3,2160,2160,10195.2,10195.2,1
7,0,6,0,45600,0.0,4104.0,1
0,1,3,0,720,0.0,99525.6,1
13,3,3,0,4500,0.0,11160.0,0
12,0,6,0,3000,0.0,210.0,0
12,0,6,0,52800,0.0,3801.6,0
52,1,16,0,10,0.0,1790.0,1
4,1,5,12,1440,2273.88,272865.6,0
3,0,0,0,84,0.0,2940.0,1
3,1,16,0,30,0.0,591.3,0
3,1,3,0,120,0.0,88.8,0
3,1,3,0,90,0.0,398.7,0
3,1,3,0,180,0.0,93.6,1
